1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,-99,0,0,0,0,0,0,0,0.9,0.6,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,3,6.2,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,36.8,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,5.2,3.8
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,1.8,0,0,0,0,0,0,5.5,0,0,0,-99,0,0,17.6,0,0,0,0,0,0,0,-99,0,0,0,-99,0.5,0,1.7,-99,0,0,3.2,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,15.8,25.8,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,14.6,0,0,0,0,0,-99,0,0,0,-99,20.6,0,0,-99,0,35.4,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,51.4,0,0,0,0,0,-99,0,26.5,0,-99,0,0,0,-99,0,13.5,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,-99,10,0,0,0,0,0,9.8,0,0,0,-99,0,0,0,-99,0,0,1,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,-99,0,0,0,0,0,0,4.1,1.8,0,0,-99,0,0.5,0,-99,0,0,45,-99,4.9,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,-99,0,6.2,0,0,0,0,0,0,0,0,-99,0,34.2,0,-99,0,0,3,-99,0,0,0,0,0,0
